"","city","floor","total_area","living_area","kitchen_area","room_count","height","is_studio","view_airport","view_building","view_city","view_cottages","view_east","view_field","view_forest","view_garden","view_highway","view_house","view_mall","view_north","view_parking","view_playground","view_school","view_south","view_street","view_water","view_west","view_yard","total_price"
"17965","Нижний Новгород",9,128.9,98.7,15.6,1,"3","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14952400
"17966","Нижний Новгород",10,40.75,13.8,16.3,1,"2.9","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3260000
"17967","Верхняя Пышма",7,51.94,23.67,14.16,2,"2.6","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4908330
"17968","Нижний Новгород",13,38.7,15.9,10.56,1,"2.6","0",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572800
"17971","Тюмень",9,40.75,12.52,11.25,1,"2.51","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3870000
"17972","Краснодар",7,69.21,34.22,12.44,2,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7024815
"17973","Йошкар-Ола",6,38.37,18.9,8.74,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1611120
"17976","Киров",1,52.7,32.9,4.4,3,"2.5","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3267400
"17977","Нижний Новгород",3,95.98,48.01,18.73,3,"2.61","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10682574
"17979","Екатеринбург",9,72.23,31.7,16.9,2,"2.5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8314738
"17982","ПГТ Медведево",12,39.71,16.96,11.52,1,"0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1554000
"17983","Челябинск",10,58.81,27.82,16.38,2,"2.64","0",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2940500
"17984","Самара",10,68.53,36.29,14.02,2,"2.7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5071220
